Nx=12, Ny=96, Nz=96
dx=0.244949, dy=0.244949, dz=0.244949
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.035839 0.96416 17.7555 -10.0948
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.071929 0.928067 15.094 -10.5914
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.160803 0.839189 8.10653 -12.2475
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.359801 0.640195 -4.30524 -12.7204
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.644983 0.355019 -12.9815 -4.28466
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.845293 0.154705 -12.7443 7.97272
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.933939 0.066059 -11.3794 14.6569
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.969472 0.030528 -11.2521 16.9164
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.984682 0.015319 -11.6647 17.4163
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.991812 0.008189 -12.1993 17.3095
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.995344 0.004657 -12.7209 16.9998
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997066 0.002935 -13.157 16.667
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997767 0.002233 -13.4582 16.4079
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997839 0.002161 -13.604 16.2663
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.997401 0.002598 -13.5979 16.2461
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.996447 0.003553 -13.4656 16.3212
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.994918 0.005081 -13.2401 16.455
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.992735 0.007265 -12.9468 16.6172
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.989706 0.010294 -12.6142 16.7682
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.985563 0.014439 -12.2803 16.8536
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.979943 0.020059 -11.9814 16.8154
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.972351 0.027651 -11.7418 16.5997
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.962 0.038002 -11.5828 16.1382
0.947696 0.052301 -11.5437 15.32
0.947696 0.052301 -11.5437 15.32
0.947696 0.052301 -11.5437 15.32
0.947696 0.052301 -11.5437 15.32
0.947696 0.052301 -11.5437 15.32
0.947696 0.052301 -11.5437 15.32
